teks1,teks2,label
Ibukota Perancis adalah Paris,Paris adalah ibukota Perancis,1
Makanan ini enak,Cuaca hari ini cerah,0
Film ini bagus,Film ini sangat buruk,0
Kucing adalah hewan peliharaan,Kucing adalah hewan yang lucu,1
Buku ini sangat menarik,Buku ini sangat membosankan,0
Langit biru terlihat indah,Langit biru sangat cantik,1
Pemrograman adalah seni,Saya suka berolahraga,0
Anjing suka bermain bola,Anjing senang mengejar bola,1
Saya pergi ke sekolah pagi ini,Saya bangun siang hari ini,0
Kopi hitam rasanya pahit,Kopi hitam memiliki rasa pahit,1
Pohon itu sangat tinggi,Pohon di taman sangat pendek,0
Jakarta adalah ibukota Indonesia,Ibukota Indonesia adalah Jakarta,1
Saya suka bermain gitar,Saya tidak bisa bermain piano,0
Olahraga baik untuk kesehatan,Olahraga membuat tubuh sehat,1
Hari ini hujan deras,Matahari bersinar terang,0
Bunga mawar berwarna merah,Mawar merah adalah bunga yang indah,1
Kue ini sangat manis,Kue ini tidak ada rasanya,0
Saya sedang membaca buku novel,Saya membaca novel di rumah,1
Mobil itu sangat cepat,Sepeda itu bergerak lambat,0
Komputer mempermudah pekerjaan,Laptop adalah alat kerja modern,1
Sungai itu sangat jernih,Lautan luas membentang biru,0
Burung berkicau di pagi hari,Burung bernyanyi setiap pagi,1
Kami pergi ke pantai kemarin,Kami tinggal di rumah sepanjang hari,0
Saya sedang belajar matematika,Saya belajar aljabar untuk ujian,1
Pohon apel itu penuh buah,Pohon itu tidak memiliki buah,0
Rumah ini sangat nyaman,Rumah ini memiliki banyak ruang,1
Saya suka es krim coklat,Saya tidak suka es krim vanila,0
Musik klasik sangat menenangkan,Musik rock sangat berisik,0
Bayi itu sedang tidur nyenyak,Bayi itu terlihat sangat tenang,1
Hari ini hari Minggu,Besok adalah hari Senin,0
Kami makan malam bersama,Kami makan malam dengan keluarga,1
Saya suka hujan di malam hari,Saya tidak suka panas di siang hari,0
Gunung itu terlihat megah,Gunung di kejauhan sangat tinggi,1
Dia adalah sahabat terbaik saya,Kami tidak saling mengenal,0
Makanan pedas membuatku berkeringat,Makanan pedas sangat menggugah selera,1
Perjalanan ini sangat menyenangkan,Perjalanan ini sangat membosankan,0
Film horor itu sangat menakutkan,Film itu membuatku takut,1
Bunga-bunga di taman sangat indah,Rumput di lapangan hijau segar,0
Saya belajar bahasa Inggris setiap hari,Bahasa Inggris sangat menarik untuk dipelajari,1
Langit malam ini penuh bintang,Langit malam ini gelap tanpa cahaya,0
Saya suka membaca buku sejarah,Buku sejarah memberikan banyak informasi,1
Kami pergi berlibur ke Bali,Kami tinggal di rumah selama liburan,0
Anjing itu sangat setia,Kucing juga bisa menjadi hewan peliharaan setia,0
Pagi ini saya lari di taman,Saya berlari setiap pagi di taman,1
Es krim ini terlalu manis,Es krim ini tidak enak sama sekali,0
Kereta api bergerak sangat cepat,Kereta melaju dengan kecepatan tinggi,1
Televisi di rumah saya rusak,Radio di rumah saya masih berfungsi,0
Hari ini cuaca sangat cerah,Langit biru tanpa awan sangat indah,1
Saya suka belajar hal baru,Saya tidak suka belajar hal baru,0
Ujian matematika hari ini sangat sulit,Soal-soal matematika sangat menantang,1
Anak-anak bermain di taman,Anak-anak belajar di sekolah,0
Orang itu sangat ramah,Dia adalah orang yang sangat baik,1
Baju ini sangat murah,Baju ini terlalu mahal untuk dibeli,0
Saya sedang menonton pertandingan sepak bola,Saya menonton pertandingan sepak bola di TV,1
Bulan purnama terlihat indah malam ini,Matahari terbenam sangat menawan,0
Saya suka minuman ini,Saya tidak menyukai rasa minuman ini,0
Buku ini penuh dengan informasi berguna,Buku ini sangat bermanfaat,1
Pemandangan dari atas gunung sangat indah,Lautan luas terlihat menakjubkan dari sini,0
Saya sedang bekerja di kantor,Saya bekerja dari rumah hari ini,0
Hari ini sangat melelahkan,Hari ini sangat menyenangkan,0
Saya akan pergi ke pasar,Saya akan pergi ke toko buku,0
Es teh ini sangat menyegarkan,Minuman ini terasa sangat dingin,1
Kucing itu sedang tidur di sofa,Anjing itu sedang bermain di taman,0
Ujian hari ini sangat mudah,Ujian hari ini sangat sulit,0
Teman saya sangat baik hati,Teman saya sangat perhatian,1
Dia selalu membantu orang lain,Dia sering mengabaikan orang lain,0
